,seconds,alg
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_4\events.out.tfevents,42.1692,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_5\events.out.tfevents,41.526782,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_6\events.out.tfevents,41.83163,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_7\events.out.tfevents,42.056854,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_8\events.out.tfevents,41.659506,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_9\events.out.tfevents,42.459779,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_1\events.out.tfevents,91.238715,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_10\events.out.tfevents,90.231235,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_2\events.out.tfevents,91.731508,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_3\events.out.tfevents,90.54438,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_4\events.out.tfevents,89.41632,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_5\events.out.tfevents,92.152311,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_6\events.out.tfevents,90.709528,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_7\events.out.tfevents,91.260829,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_8\events.out.tfevents,90.750003,PPO
